iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_vaccinations,new_vaccinations,population
USA,North America,United States,2020-01-03,,0,,0,,,338289856
USA,North America,United States,2020-01-04,,0,,0,,,338289856
USA,North America,United States,2020-01-05,,0,,0,,,338289856
USA,North America,United States,2020-01-06,,0,,0,,,338289856
USA,North America,United States,2020-01-07,,0,,0,,,338289856
USA,North America,United States,2020-01-08,,0,,0,,,338289856
USA,North America,United States,2020-01-09,,0,,0,,,338289856
USA,North America,United States,2020-01-10,,0,,0,,,338289856
USA,North America,United States,2020-01-11,,0,,0,,,338289856
USA,North America,United States,2020-01-12,,0,,0,,,338289856
USA,North America,United States,2020-01-13,,0,,0,,,338289856
USA,North America,United States,2020-01-14,,0,,0,,,338289856
USA,North America,United States,2020-01-15,,0,,0,,,338289856
USA,North America,United States,2020-01-16,,0,,0,,,338289856
USA,North America,United States,2020-01-17,,0,,0,,,338289856
USA,North America,United States,2020-01-18,,0,,0,,,338289856
USA,North America,United States,2020-01-19,,0,,0,,,338289856
USA,North America,United States,2020-01-20,1,1,,0,,,338289856
USA,North America,United States,2020-01-21,1,0,,0,,,338289856
USA,North America,United States,2020-01-22,1,0,,0,,,338289856
USA,North America,United States,2020-01-23,1,0,,0,,,338289856
USA,North America,United States,2020-01-24,1,0,,0,,,338289856
USA,North America,United States,2020-01-25,6,5,,0,,,338289856
USA,North America,United States,2020-01-26,7,1,,0,,,338289856
USA,North America,United States,2020-01-27,7,0,,0,,,338289856
USA,North America,United States,2020-01-28,8,1,,0,,,338289856
USA,North America,United States,2020-01-29,8,0,,0,,,338289856
USA,North America,United States,2020-01-30,8,0,,0,,,338289856
USA,North America,United States,2020-01-31,8,0,,0,,,338289856
USA,North America,United States,2020-02-01,8,0,,0,,,338289856
USA,North America,United States,2020-02-02,9,1,,0,,,338289856
USA,North America,United States,2020-02-03,10,1,,0,,,338289856
USA,North America,United States,2020-02-04,13,3,,0,,,338289856
USA,North America,United States,2020-02-05,17,4,,0,,,338289856
USA,North America,United States,2020-02-06,19,2,,0,,,338289856
USA,North America,United States,2020-02-07,19,0,,0,,,338289856
USA,North America,United States,2020-02-08,19,0,,0,,,338289856
USA,North America,United States,2020-02-09,20,1,,0,,,338289856
USA,North America,United States,2020-02-10,20,0,,0,,,338289856
USA,North America,United States,2020-02-11,20,0,,0,,,338289856
USA,North America,United States,2020-02-12,20,0,,0,,,338289856
USA,North America,United States,2020-02-13,20,0,,0,,,338289856
USA,North America,United States,2020-02-14,22,2,,0,,,338289856
USA,North America,United States,2020-02-15,23,1,,0,,,338289856
USA,North America,United States,2020-02-16,24,1,,0,,,338289856
USA,North America,United States,2020-02-17,24,0,,0,,,338289856
USA,North America,United States,2020-02-18,24,0,,0,,,338289856
USA,North America,United States,2020-02-19,26,2,,0,,,338289856
USA,North America,United States,2020-02-20,31,5,,0,,,338289856
USA,North America,United States,2020-02-21,34,3,,0,,,338289856
USA,North America,United States,2020-02-22,35,1,,0,,,338289856
USA,North America,United States,2020-02-23,40,5,,0,,,338289856
USA,North America,United States,2020-02-24,48,8,,0,,,338289856
USA,North America,United States,2020-02-25,48,0,,0,,,338289856
USA,North America,United States,2020-02-26,52,4,,0,,,338289856
USA,North America,United States,2020-02-27,56,4,,0,,,338289856
USA,North America,United States,2020-02-28,64,8,,0,,,338289856
USA,North America,United States,2020-02-29,69,5,1,1,,,338289856
USA,North America,United States,2020-03-01,73,4,1,0,,,338289856
USA,North America,United States,2020-03-02,82,9,2,1,,,338289856
USA,North America,United States,2020-03-03,100,18,2,0,,,338289856
USA,North America,United States,2020-03-04,135,35,8,6,,,338289856
USA,North America,United States,2020-03-05,186,51,11,3,,,338289856
USA,North America,United States,2020-03-06,256,70,13,2,,,338289856
USA,North America,United States,2020-03-07,334,78,16,3,,,338289856
USA,North America,United States,2020-03-08,464,130,19,3,,,338289856
USA,North America,United States,2020-03-09,610,146,24,5,,,338289856
USA,North America,United States,2020-03-10,822,212,28,4,,,338289856
USA,North America,United States,2020-03-11,1212,390,32,4,,,338289856
USA,North America,United States,2020-03-12,1709,497,39,7,,,338289856
USA,North America,United States,2020-03-13,2234,525,51,12,,,338289856
USA,North America,United States,2020-03-14,2961,727,58,7,,,338289856
USA,North America,United States,2020-03-15,3929,968,69,11,,,338289856
USA,North America,United States,2020-03-16,5148,1219,82,13,,,338289856
USA,North America,United States,2020-03-17,7283,2135,100,18,,,338289856
USA,North America,United States,2020-03-18,9652,2369,121,21,,,338289856
USA,North America,United States,2020-03-19,12881,3229,149,28,,,338289856
USA,North America,United States,2020-03-20,17743,4862,213,64,,,338289856
USA,North America,United States,2020-03-21,23856,6113,282,69,,,338289856
USA,North America,United States,2020-03-22,31415,7559,374,92,,,338289856
USA,North America,United States,2020-03-23,40525,9110,486,112,,,338289856
USA,North America,United States,2020-03-24,51290,10765,604,118,,,338289856
USA,North America,United States,2020-03-25,62044,10754,768,164,,,338289856
USA,North America,United States,2020-03-26,73376,11332,977,209,,,338289856
USA,North America,United States,2020-03-27,87491,14115,1278,301,,,338289856
USA,North America,United States,2020-03-28,105965,18474,1619,341,,,338289856
USA,North America,United States,2020-03-29,126309,20344,2106,487,,,338289856
USA,North America,United States,2020-03-30,146982,20673,2662,556,,,338289856
USA,North America,United States,2020-03-31,173143,26161,3327,665,,,338289856
USA,North America,United States,2020-04-01,188679,15536,3958,631,,,338289856
USA,North America,United States,2020-04-02,211939,23260,4940,982,,,338289856
USA,North America,United States,2020-04-03,240613,28674,6061,1121,,,338289856
USA,North America,United States,2020-04-04,270403,29790,7372,1311,,,338289856
USA,North America,United States,2020-04-05,302460,32057,8748,1376,,,338289856
USA,North America,United States,2020-04-06,334594,32134,10288,1540,,,338289856
USA,North America,United States,2020-04-07,361578,26984,12161,1873,,,338289856
USA,North America,United States,2020-04-08,390207,28629,13852,1691,,,338289856
USA,North America,United States,2020-04-09,419562,29355,15945,2093,,,338289856
USA,North America,United States,2020-04-10,453710,34148,18166,2221,,,338289856
USA,North America,United States,2020-04-11,488453,34743,20396,2230,,,338289856
USA,North America,United States,2020-04-12,521632,33179,22637,2241,,,338289856
USA,North America,United States,2020-04-13,553167,31535,24829,2192,,,338289856
USA,North America,United States,2020-04-14,580261,27094,26686,1857,,,338289856
USA,North America,United States,2020-04-15,605505,25244,28591,1905,,,338289856
USA,North America,United States,2020-04-16,630764,25259,31023,2432,,,338289856
USA,North America,United States,2020-04-17,655972,25208,33754,2731,,,338289856
USA,North America,United States,2020-04-18,687466,31494,36199,2445,,,338289856
USA,North America,United States,2020-04-19,717782,30316,38535,2336,,,338289856
USA,North America,United States,2020-04-20,746063,28281,40383,1848,,,338289856
USA,North America,United States,2020-04-21,772133,26070,42376,1993,,,338289856
USA,North America,United States,2020-04-22,798561,26428,44453,2077,,,338289856
USA,North America,United States,2020-04-23,824488,25927,47126,2673,,,338289856
USA,North America,United States,2020-04-24,854958,30470,49347,2221,,,338289856
USA,North America,United States,2020-04-25,888169,33211,51331,1984,,,338289856
USA,North America,United States,2020-04-26,922947,34778,53434,2103,,,338289856
USA,North America,United States,2020-04-27,956550,33603,55326,1892,,,338289856
USA,North America,United States,2020-04-28,982613,26063,56861,1535,,,338289856
USA,North America,United States,2020-04-29,1006371,23758,58350,1489,,,338289856
USA,North America,United States,2020-04-30,1030306,23935,60461,2111,,,338289856
USA,North America,United States,2020-05-01,1057080,26774,62878,2417,,,338289856
USA,North America,United States,2020-05-02,1088301,31221,65116,2238,,,338289856
USA,North America,United States,2020-05-03,1121383,33082,67069,1953,,,338289856
USA,North America,United States,2020-05-04,1149675,28292,68678,1609,,,338289856
USA,North America,United States,2020-05-05,1175602,25927,70090,1412,,,338289856
USA,North America,United States,2020-05-06,1197926,22324,71361,1271,,,338289856
USA,North America,United States,2020-05-07,1220804,22878,73795,2434,,,338289856
USA,North America,United States,2020-05-08,1246244,25440,76136,2341,,,338289856
USA,North America,United States,2020-05-09,1274796,28552,78169,2033,,,338289856
USA,North America,United States,2020-05-10,1303629,28833,79827,1658,,,338289856
USA,North America,United States,2020-05-11,1329546,25917,81318,1491,,,338289856
USA,North America,United States,2020-05-12,1350202,20656,82391,1073,,,338289856
USA,North America,United States,2020-05-13,1370152,19950,83425,1034,,,338289856
USA,North America,United States,2020-05-14,1394054,23902,84958,1533,,,338289856
USA,North America,United States,2020-05-15,1411390,17336,86465,1507,,,338289856
USA,North America,United States,2020-05-16,1446033,34643,88408,1943,,,338289856
USA,North America,United States,2020-05-17,1472661,26628,89957,1549,,,338289856
USA,North America,United States,2020-05-18,1498742,26081,91196,1239,,,338289856
USA,North America,United States,2020-05-19,1518659,19917,92123,927,,,338289856
USA,North America,United States,2020-05-20,1541403,22744,93069,946,,,338289856
USA,North America,United States,2020-05-21,1563326,21923,94248,1179,,,338289856
USA,North America,United States,2020-05-22,1586832,23506,95622,1374,,,338289856
USA,North America,United States,2020-05-23,1613023,26191,96705,1083,,,338289856
USA,North America,United States,2020-05-24,1638986,25963,98515,1810,,,338289856
USA,North America,United States,2020-05-25,1660451,21465,99452,937,,,338289856
USA,North America,United States,2020-05-26,1681102,20651,100240,788,,,338289856
USA,North America,United States,2020-05-27,1700481,19379,100927,687,,,338289856
USA,North America,United States,2020-05-28,1717991,17510,101738,811,,,338289856
USA,North America,United States,2020-05-29,1737499,19508,103023,1285,,,338289856
USA,North America,United States,2020-05-30,1761681,24182,104274,1251,,,338289856
USA,North America,United States,2020-05-31,1785422,23741,105325,1051,,,338289856
USA,North America,United States,2020-06-01,1809549,24127,106231,906,,,338289856
USA,North America,United States,2020-06-02,1831015,21466,106904,673,,,338289856
USA,North America,United States,2020-06-03,1848172,17157,107595,691,,,338289856
USA,North America,United States,2020-06-04,1869146,20974,108529,934,,,338289856
USA,North America,United States,2020-06-05,1889841,20695,109551,1022,,,338289856
USA,North America,United States,2020-06-06,1910711,20870,110436,885,,,338289856
USA,North America,United States,2020-06-07,1935202,24491,111312,876,,,338289856
USA,North America,United States,2020-06-08,1958487,23285,111981,669,,,338289856
USA,North America,United States,2020-06-09,1976942,18455,112574,593,,,338289856
USA,North America,United States,2020-06-10,1995093,18151,113350,776,,,338289856
USA,North America,United States,2020-06-11,2013674,18581,114177,827,,,338289856
USA,North America,United States,2020-06-12,2035855,22181,115059,882,,,338289856
USA,North America,United States,2020-06-13,2058745,22890,115947,888,,,338289856
USA,North America,United States,2020-06-14,2087078,28333,116682,735,,,338289856
USA,North America,United States,2020-06-15,2113512,26434,117367,685,,,338289856
USA,North America,United States,2020-06-16,2134290,20778,117856,489,,,338289856
USA,North America,United States,2020-06-17,2154881,20591,118381,525,,,338289856
USA,North America,United States,2020-06-18,2179658,24777,119055,674,,,338289856
USA,North America,United States,2020-06-19,2205474,25816,119739,684,,,338289856
USA,North America,United States,2020-06-20,2233994,28520,120382,643,,,338289856
USA,North America,United States,2020-06-21,2267099,33105,121137,755,,,338289856
USA,North America,United States,2020-06-22,2300566,33467,121713,576,,,338289856
USA,North America,United States,2020-06-23,2327911,27345,122126,413,,,338289856
USA,North America,United States,2020-06-24,2356609,28698,122541,415,,,338289856
USA,North America,United States,2020-06-25,2394496,37887,123287,746,,,338289856
USA,North America,United States,2020-06-26,2431816,37320,123979,692,,,338289856
USA,North America,United States,2020-06-27,2478837,47021,126512,2533,,,338289856
USA,North America,United States,2020-06-28,2525377,46540,127218,706,,,338289856
USA,North America,United States,2020-06-29,2569030,43653,127811,593,,,338289856
USA,North America,United States,2020-06-30,2606613,37583,128250,439,,,338289856
USA,North America,United States,2020-07-01,2645130,38517,128711,461,,,338289856
USA,North America,United States,2020-07-02,2692383,47253,129373,662,,,338289856
USA,North America,United States,2020-07-03,2751725,59342,130155,782,,,338289856
USA,North America,United States,2020-07-04,2807177,55452,130859,704,,,338289856
USA,North America,United States,2020-07-05,2867543,60366,131669,810,,,338289856
USA,North America,United States,2020-07-06,2916521,48978,132208,539,,,338289856
USA,North America,United States,2020-07-07,2956934,40413,132668,460,,,338289856
USA,North America,United States,2020-07-08,3007697,50763,133266,598,,,338289856
USA,North America,United States,2020-07-09,3064451,56754,134194,928,,,338289856
USA,North America,United States,2020-07-10,3129226,64775,135273,1079,,,338289856
USA,North America,United States,2020-07-11,3191169,61943,136234,961,,,338289856
USA,North America,United States,2020-07-12,3259748,68579,137198,964,,,338289856
USA,North America,United States,2020-07-13,3328010,68262,138087,889,,,338289856
USA,North America,United States,2020-07-14,3386690,58680,138927,840,,,338289856
USA,North America,United States,2020-07-15,3442977,56287,139658,731,,,338289856
USA,North America,United States,2020-07-16,3507493,64516,140572,914,,,338289856
USA,North America,United States,2020-07-17,3579882,72389,141694,1122,,,338289856
USA,North America,United States,2020-07-18,3649063,69181,142783,1089,,,338289856
USA,North America,United States,2020-07-19,3726015,76952,143864,1081,,,338289856
USA,North America,United States,2020-07-20,3793339,67324,144869,1005,,,338289856
USA,North America,United States,2020-07-21,3853351,60012,145801,932,,,338289856
USA,North America,United States,2020-07-22,3911870,58519,146668,867,,,338289856
USA,North America,United States,2020-07-23,3975206,63336,147861,1193,,,338289856
USA,North America,United States,2020-07-24,4047622,72416,149052,1191,,,338289856
USA,North America,United States,2020-07-25,4120764,73142,150306,1254,,,338289856
USA,North America,United States,2020-07-26,4193916,73152,151590,1284,,,338289856
USA,North America,United States,2020-07-27,4255512,61596,152738,1148,,,338289856
